Duration,Group code,Cause code,stopcode,Remarks,Group code text,Cause code text
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
02.00,18.0,17.0,1817.0,BW boom hoisting & lowering & L/U Track movement Ele trouble,BWE Electrical,Hoisting/lowering trouble-ele.
00.15,44.0,5.0,4405.0,NS7 Center core cutting,Conveyor Vulcanising,Center core cutting
00.15,45.0,1.0,4501.0,NS7 Frame no : 38 Roller removal,Conveyor CMM,Line  roller changing/removal
04.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
00.30,45.0,1.0,4501.0,"NS2,NS3,NS5,NS6 Return roller fixing",Conveyor CMM,Line  roller changing/removal
03.30,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
04.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
00.30,45.0,1.0,4501.0,"NS2,NS3,NS5,NS6 Return roller fixing",Conveyor CMM,Line  roller changing/removal
00.15,44.0,5.0,4405.0,NS7 Center core cutting,Conveyor Vulcanising,Center core cutting
00.15,45.0,1.0,4501.0,NS7 Frame no : 38 Roller removal,Conveyor CMM,Line  roller changing/removal
04.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
00.30,45.0,1.0,4501.0,"NS2,NS3,NS5,NS6 Return roller fixing",Conveyor CMM,Line  roller changing/removal
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.15,44.0,5.0,4405.0,NS6 Conveyor center core cutting single core,Conveyor Vulcanising,Center core cutting
00.15,44.0,9.0,4409.0,NS5 Conveyor BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.10,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
00.15,44.0,5.0,4405.0,NS6 Conveyor center core cutting single core,Conveyor Vulcanising,Center core cutting
00.15,44.0,9.0,4409.0,NS5 Conveyor BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.10,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
08.00,34.0,1.0,3401.0,Belt-1 Changing,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.20,44.0,5.0,4405.0,"NS3, NS4 Center core cutting",Conveyor Vulcanising,Center core cutting
00.20,45.0,99.0,4599.0,"NS7 TE ""O"" Seq/Stringer got cut & byepassed",Conveyor CMM,Others
00.30,40.0,99.0,4099.0,NS2 Pressure roller area soil cleaning,Conveyor Operation,Other
00.15,44.0,5.0,4405.0,NS4 Center core cutting,Conveyor Vulcanising,Center core cutting
00.20,44.0,5.0,4405.0,"NS3, NS4 Center core cutting",Conveyor Vulcanising,Center core cutting
02.00,44.0,9.0,4409.0,NS3 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.20,44.0,5.0,4405.0,"NS3, NS4 Center core cutting",Conveyor Vulcanising,Center core cutting
00.20,45.0,99.0,4599.0,"NS7 TE ""O"" Seq/Stringer got cut & byepassed",Conveyor CMM,Others
00.30,40.0,99.0,4099.0,NS2 Pressure roller area soil cleaning,Conveyor Operation,Other
00.15,44.0,5.0,4405.0,NS4 Center core cutting,Conveyor Vulcanising,Center core cutting
00.20,44.0,5.0,4405.0,"NS3, NS4 Center core cutting",Conveyor Vulcanising,Center core cutting
02.00,44.0,9.0,4409.0,NS3 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
08.00,34.0,1.0,3401.0,Belt-1 Changing,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
01.15,44.0,9.0,4409.0,NS3 Weak joint area BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.10,60.0,99.0,6099.0,Spr-IV R/Belt Roller protection acted,Spreader Operation,Others
00.20,44.0,5.0,4405.0,NS-2 Center core cutting (Single 2 mtre),Conveyor Vulcanising,Center core cutting
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
03.00,44.0,9.0,4409.0,"Extn. NS3,NS5,NS7 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
01.15,44.0,9.0,4409.0,NS3 Weak joint area BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.10,60.0,99.0,6099.0,Spr-IV R/Belt Roller protection acted,Spreader Operation,Others
00.40,21.0,3.0,2103.0,MTC-7 LHS track plate double eye got cut & changing,MTC MM,Mc Full Track Plate Pin/Plates Chg/Cutting-Welding
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
03.00,44.0,9.0,4409.0,"Extn. NS3,NS5,NS7 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
08.00,34.0,1.0,3401.0,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
04.00,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
00.25,40.0,99.0,4099.0,NS1 Frame no : 128 Pull cord fault,Conveyor Operation,Other
00.15,44.0,9.0,4409.0,NS5 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.15,48.0,16.0,4816.0,NS6 Electrical fault,Conveyor Electrical,Electrical work/trouble.
