Date,Shift,Material Number,Bench
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,I,SF01OBURDEN,NSB
01-12-2022,II,SF01OBURDEN,NSB
01-12-2022,II,SF01OBURDEN,NSB
01-12-2022,II,SF01OBURDEN,NSB
01-12-2022,II,SF01OBURDEN,NSB
01-12-2022,II,SF01OBURDEN,NSB
01-12-2022,II,SF01OBURDEN,NSB
01-12-2022,II,SF01OBURDEN,NSB
01-12-2022,II,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
01-12-2022,III,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,I,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,II,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
02-12-2022,III,SF01OBURDEN,NSB
03-12-2022,I,SF01OBURDEN,NSB
03-12-2022,I,SF01OBURDEN,NSB
03-12-2022,I,SF01OBURDEN,NSB
03-12-2022,I,SF01OBURDEN,NSB
03-12-2022,I,SF01OBURDEN,NSB
03-12-2022,I,SF01OBURDEN,NSB
03-12-2022,II,SF01OBURDEN,NSB
03-12-2022,II,SF01OBURDEN,NSB
03-12-2022,II,SF01OBURDEN,NSB
03-12-2022,II,SF01OBURDEN,NSB
03-12-2022,III,SF01OBURDEN,NSB
03-12-2022,III,SF01OBURDEN,NSB
03-12-2022,III,SF01OBURDEN,NSB
03-12-2022,III,SF01OBURDEN,NSB
04-12-2022,I,SF01OBURDEN,NSB
04-12-2022,I,SF01OBURDEN,NSB
04-12-2022,I,SF01OBURDEN,NSB
04-12-2022,I,SF01OBURDEN,NSB
04-12-2022,I,SF01OBURDEN,NSB
04-12-2022,I,SF01OBURDEN,NSB
04-12-2022,I,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,II,SF01OBURDEN,NSB
04-12-2022,III,SF01OBURDEN,NSB
04-12-2022,III,SF01OBURDEN,NSB
04-12-2022,III,SF01OBURDEN,NSB
04-12-2022,III,SF01OBURDEN,NSB
04-12-2022,III,SF01OBURDEN,NSB
04-12-2022,III,SF01OBURDEN,NSB
04-12-2022,III,SF01OBURDEN,NSB
