Plant,Date,Shift,Material Number,Bench,BWE,TWH,EWH,Stoppage,secs,BOUND HOURS,Time From,Time to,Duration,Group code,Cause code,stopcode,Remarks,Group code text,Cause code text
M002,01-12-2022,I,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,01-12-2022,I,SF01OBURDEN,NSB,1422,01.00,01.00,07.00,25200,00.00,0600,0800,02.00,18,17,1817,BW boom hoisting & lowering & L/U Track movement Ele trouble,BWE Electrical,Hoisting/lowering trouble-ele.
M002,01-12-2022,I,SF01OBURDEN,NSB,1422,01.00,01.00,07.00,25200,00.00,0840,0855,00.15,44,05,4405,NS7 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,01-12-2022,I,SF01OBURDEN,NSB,1422,01.00,01.00,07.00,25200,00.00,0915,0930,00.15,45,01,4501,NS7 Frame no : 38 Roller removal,Conveyor CMM,Line  roller changing/removal
M002,01-12-2022,I,SF01OBURDEN,NSB,1422,01.00,01.00,07.00,25200,00.00,0930,1330,04.00,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
M002,01-12-2022,I,SF01OBURDEN,NSB,1422,01.00,01.00,07.00,25200,00.00,1330,1400,00.30,45,01,4501,"NS2,NS3,NS5,NS6 Return roller fixing",Conveyor CMM,Line  roller changing/removal
M002,01-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,0600,0930,03.30,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
M002,01-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,0930,1330,04.00,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
M002,01-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,1330,1400,00.30,45,01,4501,"NS2,NS3,NS5,NS6 Return roller fixing",Conveyor CMM,Line  roller changing/removal
M002,01-12-2022,I,SF01OBURDEN,NSB,TAK II,03.00,03.00,05.00,18000,00.00,0840,0855,00.15,44,05,4405,NS7 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,01-12-2022,I,SF01OBURDEN,NSB,TAK II,03.00,03.00,05.00,18000,00.00,0915,0930,00.15,45,01,4501,NS7 Frame no : 38 Roller removal,Conveyor CMM,Line  roller changing/removal
M002,01-12-2022,I,SF01OBURDEN,NSB,TAK II,03.00,03.00,05.00,18000,00.00,0930,1330,04.00,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
M002,01-12-2022,I,SF01OBURDEN,NSB,TAK II,03.00,03.00,05.00,18000,00.00,1330,1400,00.30,45,01,4501,"NS2,NS3,NS5,NS6 Return roller fixing",Conveyor CMM,Line  roller changing/removal
M002,01-12-2022,II,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,01-12-2022,II,SF01OBURDEN,NSB,1422,07.20,07.20,00.40,2400,00.00,1730,1745,00.15,44,05,4405,NS6 Conveyor center core cutting single core,Conveyor Vulcanising,Center core cutting
M002,01-12-2022,II,SF01OBURDEN,NSB,1422,07.20,07.20,00.40,2400,00.00,1955,2010,00.15,44,09,4409,NS5 Conveyor BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,01-12-2022,II,SF01OBURDEN,NSB,1422,07.20,07.20,00.40,2400,00.00,2010,2020,00.10,10,01,1001,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
M002,01-12-2022,II,SF01OBURDEN,NSB,L&T 2,07.20,07.20,00.40,2400,00.00,1730,1745,00.15,44,05,4405,NS6 Conveyor center core cutting single core,Conveyor Vulcanising,Center core cutting
M002,01-12-2022,II,SF01OBURDEN,NSB,L&T 2,07.20,07.20,00.40,2400,00.00,1955,2010,00.15,44,09,4409,NS5 Conveyor BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,01-12-2022,II,SF01OBURDEN,NSB,L&T 2,07.20,07.20,00.40,2400,00.00,2010,2020,00.10,10,01,1001,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
M002,01-12-2022,II,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,34,01,3401,Belt-1 Changing,Planned VULCANSING,BWE Planned vulcanising work
M002,01-12-2022,III,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,01-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,2250,2310,00.20,44,05,4405,"NS3, NS4 Center core cutting",Conveyor Vulcanising,Center core cutting
M002,01-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,2325,2345,00.20,45,99,4599,"NS7 TE ""O"" Seq/Stringer got cut & byepassed",Conveyor CMM,Others
M002,01-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,0030,0100,00.30,40,99,4099,NS2 Pressure roller area soil cleaning,Conveyor Operation,Other
M002,01-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,0115,0130,00.15,44,05,4405,NS4 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,01-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,0210,0230,00.20,44,05,4405,"NS3, NS4 Center core cutting",Conveyor Vulcanising,Center core cutting
M002,01-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,0400,0600,02.00,44,09,4409,NS3 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,01-12-2022,III,SF01OBURDEN,NSB,L&T 2,04.15,04.15,03.45,13500,00.00,2250,2310,00.20,44,05,4405,"NS3, NS4 Center core cutting",Conveyor Vulcanising,Center core cutting
M002,01-12-2022,III,SF01OBURDEN,NSB,L&T 2,04.15,04.15,03.45,13500,00.00,2325,2345,00.20,45,99,4599,"NS7 TE ""O"" Seq/Stringer got cut & byepassed",Conveyor CMM,Others
M002,01-12-2022,III,SF01OBURDEN,NSB,L&T 2,04.15,04.15,03.45,13500,00.00,0030,0100,00.30,40,99,4099,NS2 Pressure roller area soil cleaning,Conveyor Operation,Other
M002,01-12-2022,III,SF01OBURDEN,NSB,L&T 2,04.15,04.15,03.45,13500,00.00,0115,0130,00.15,44,05,4405,NS4 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,01-12-2022,III,SF01OBURDEN,NSB,L&T 2,04.15,04.15,03.45,13500,00.00,0210,0230,00.20,44,05,4405,"NS3, NS4 Center core cutting",Conveyor Vulcanising,Center core cutting
